,0
813,0
814,1
815,1
816,0
817,1
818,1
819,1
820,0
821,0
822,1
823,1
824,0
825,0
826,0
827,1
828,1
829,1
830,1
831,0
832,0
833,1
834,1
835,1
836,1
837,1
838,1
839,0
840,1
841,1
842,1
843,0
844,1
845,1
846,0
847,0
848,0
849,1
850,1
851,0
852,1
853,0
854,0
855,1
856,0
857,0
858,0
859,1
860,0
861,0
862,0
863,1
864,1
865,1
866,1
867,1
868,0
869,1
870,0
871,1
872,1
873,0
874,1
875,0
876,1
877,1
878,1
879,1
880,1
881,0
882,1
883,1
884,0
885,1
886,0
887,1
888,1
889,1
890,0
891,1
892,0
893,1
894,1
895,0
896,1
897,1
898,1
899,0
900,0
901,0
902,1
903,0
904,1
905,0
906,1
907,1
908,0
909,1
910,1
911,1
912,1
913,0
914,0
915,1
916,1
917,1
918,0
919,1
920,1
921,1
922,0
923,1
924,1
925,0
926,0
927,0
928,1
929,1
930,1
931,1
932,0
933,1
934,0
935,0
936,1
937,1
938,0
939,0
940,0
941,1
942,1
943,1
944,1
945,1
946,0
947,1
948,0
949,1
950,1
951,1
952,0
953,1
954,0
955,1
956,1
957,1
958,0
959,0
960,1
961,1
962,0
963,0
964,1
965,0
966,1
967,0
968,1
969,1
970,0
971,0
972,1
973,1
974,1
975,1
976,0
977,1
978,1
979,1
